shape_id,shape_pt_lat,shape_pt_lon,shape_pt_sequence
1SH,19.392812276731,-99.17324158446604,0
1SH,19.39280057163113,-99.17712137799886,1
1SH,19.3910323,-99.1917229,2
1SH,19.39000793992452,-99.19291483986903,3
1SH,19.390556724515623,-99.19930327578786,4
1SH,19.39065618060116,-99.20199660786051,5
1SH,19.390072583816906,-99.20960386346292,6
1SH,19.387437246226806,-99.22208797929365,7
1SH,19.379132082949063,-99.24666879807842,8
1SH,19.3789058,-99.24806079999999,9
1SH,19.377693079527685,-99.25153663726633,10
1SH,19.36177285612866,-99.27800796029956,11
1SH,19.36029237518319,-99.27979755559345,12
2SH,19.625727515536713,-99.0115244784209,13
2SH,19.625337180792204,-99.01233249958749,14
2SH,19.625169723221962,-99.0126513924945,15
2SH,19.624725358730718,-99.01357838256826,16
2SH,19.624054572674954,-99.0150179401892,17
2SH,19.623020330301753,-99.0172462844674,18
2SH,19.622572409864368,-99.01817004904844,19
2SH,19.62172302158602,-99.01996282506043,20
2SH,19.621241976209376,-99.02097913753629,21
2SH,19.617361199999998,-99.0268943,22
2SH,19.613545749683333,-99.04588578738034,23
2SH,19.612805305109877,-99.05368857811261,24
2SH,19.612734990274134,-99.05450175241594,25
2SH,19.612618799933713,-99.05587343002504,26
2SH,19.60675483647159,-99.05561703117078,27
2SH,19.602065323836715,-99.04976552453212,28
2SH,19.601356058119634,-99.04846838412409,29
2SH,19.6012812406236,-99.04833187434546,30
2SH,19.6010043543534,-99.04783770373251,31
2SH,19.60077548624338,-99.04742613987943,32
2SH,19.59962327678702,-99.04527898553158,33
2SH,19.597472400646335,-99.04141753346153,34
2SH,19.594574472058234,-99.03805806787724,35
2SH,19.571777376778996,-99.0433230828886,36
2SH,19.56951118890803,-99.04374812170651,37
2SH,19.5575612991396,-99.04929341033689,38
2SH,19.55342829306815,-99.05136758402172,39
2SH,19.55250974533832,-99.0516909475934,40
2SH,19.551873640058382,-99.05186276488213,41
2SH,19.551864715738155,-99.05186501823847,42
2SH,19.54865481093288,-99.05049175764267,43
2SH,19.548206999999998,-99.0499449,44
2SH,19.548506280232008,-99.04835061860372,45
2SH,19.550174598193863,-99.04708006470877,46
2SH,19.549236539685342,-99.04560332924501,47
2SH,19.54841570444388,-99.0445086231961,48
2SH,19.5445061339758,-99.03973849837642,49
2SH,19.544041916959255,-99.03921881698864,50
2SH,19.542798511085145,-99.03778526180703,51
2SH,19.54094667984947,-99.03363950966776,52
2SH,19.5391612,-99.0313031,53
2SH,19.5385949,-99.03074529999999,54
2SH,19.536460397687424,-99.02718627755024,55
2SH,19.536302103158054,-99.02725746866132,56
2SH,19.53592326935468,-99.02742784411086,57
2SH,19.528520428587328,-99.03057456673415,58
2SH,19.521644664199435,-99.03361051298208,59
2SH,19.513324428724918,-99.03726992906559,60
2SH,19.50913666506883,-99.03910534748697,61
2SH,19.506913453991658,-99.04009214533868,62
2SH,19.495238871722986,-99.04520940017686,63
2SH,19.479419999999998,-99.0521266,64
2SH,19.471025698730863,-99.05580117568421,65
2SH,19.46209966073642,-99.06039448981852,66
2SH,19.46163990610569,-99.06201897474745,67
2SH,19.451537127482563,-99.07863011251781,68
2SH,19.44490954497256,-99.08849525539505,69
2SH,19.438962943605453,-99.09857372088005,70
2SH,19.42598516848406,-99.10865669535707,71
2SH,19.42535663658297,-99.10742465953064,72
2SH,19.42505132693,-99.10682772045959,73
2SH,19.42605513356349,-99.10805979439385,74
3SH,19.36037421348135,-98.99436987452061,75
3SH,19.3603572694241,-98.9941459555409,76
3SH,19.360426770546066,-98.9933695470785,77
3SH,19.36464856397363,-98.99223628731399,78
3SH,19.365817344632223,-98.99193550231358,79
3SH,19.368526147737196,-98.99333087811992,80
3SH,19.3690065045624,-98.99415520176947,81
3SH,19.369673925630735,-98.99529557906021,82
3SH,19.3718155702969,-98.994505844709,83
3SH,19.388244394855437,-98.98585502796836,84
3SH,19.39830115271765,-98.9892697407127,85
3SH,19.39924662618497,-98.98970528588283,86
3SH,19.399944363315814,-98.98933575153265,87
3SH,19.4050505800919,-98.9886527926112,88
4SH,19.30377884481188,-99.18019995167823,89
4SH,19.30525001897889,-99.17972426612695,90
4SH,19.3055858,-99.1791025,91
4SH,19.305818476420523,-99.17524551347589,92
4SH,19.30745695629671,-99.16309917841342,93
4SH,19.305873889022518,-99.1615287778689,94
4SH,19.301564806246883,-99.15669724001538,95
4SH,19.29851160986268,-99.15120322188402,96
4SH,19.2982965,-99.1513354,97
5SH,19.34906786853928,-99.13012283207777,98
